"split_1","split_2","split_3","split_4","split_5"
30227,46233,16655,48370,45385
48625,23746,14779,6203,5759
40005,34614,46275,44828,47843
26223,4197,25775,47393,33768
38348,26648,31430,49116,39373
9217,32946,36712,42061,30957
18785,43182,33083,30061,9105
40335,25992,38996,29984,18148
14266,27600,32111,40894,18479
43974,15818,39636,11949,20095
46282,37245,33889,11175,2963
44011,6737,7852,45279,30783
38808,38137,35838,13494,2690
20559,4037,30092,21213,34501
2150,18359,18022,42221,21048
44500,10168,35170,33057,35976
2237,34404,11276,45207,42624
40275,37803,21697,13083,4611
3545,47687,1336,49381,26068
19680,27579,21784,28789,49122
20363,15588,34222,8535,608
39706,44802,3521,36270,14574
44823,3700,32992,17013,47297
37537,10309,22971,9787,14477
49783,30545,9593,46683,2749
15042,35278,5385,26201,37426
38773,24553,2202,4561,46001
12725,3510,45489,19903,5872
34341,13016,28133,6184,45825
14057,38514,12797,38049,23160
48392,46325,11779,30842,35116
46800,4528,1875,37645,39212
4596,4386,18989,42666,23426
49773,35085,3181,14979,29502
41011,28341,18597,32646,4601
20447,28808,24551,8963,3037
31965,33660,11962,33044,34344
45221,27010,32743,14732,40221
28223,18481,39502,34550,7249
28355,18906,25800,6242,21071
14832,24654,27876,38535,31893
6426,27331,6095,7309,49109
34101,4656,42382,27497,39295
26530,38960,5793,40407,37477
9133,27244,10677,1883,37851
9636,1729,5074,9092,3281
41268,23393,22483,45156,7501
31698,1979,47537,19316,37811
39268,16398,28574,49543,17990
41832,44281,16226,42674,31462
3819,16228,14263,21641,7395
22394,14696,17063,21765,41805
2494,14923,28303,40156,22067
24031,8677,11067,31212,17652
20486,41811,35241,47798,33813
13898,32144,48073,49903,25729
41262,43197,21549,19411,49449
17299,4643,8283,32228,5168
14981,12460,4834,16363,47555
22495,49060,16816,32591,41581
28537,35777,35867,44204,1751
31597,28151,7534,3760,24823
32912,25705,16998,34023,35076
38500,22059,44326,42549,23934
38272,29893,35977,8261,42286
19433,25478,42418,20619,38908
28949,48969,1460,19183,46736
7406,21409,44672,4950,49894
13028,44774,49907,7501,43417
22884,40700,39500,41489,27874
39004,33335,8604,43428,35115
37481,10944,11167,8496,41034
5334,45101,20006,28275,49871
14138,36482,27941,2759,16264
1819,43971,15601,26058,11007
2406,18704,34655,49375,36886
49339,20343,21340,5828,33909
7599,49506,20381,10079,23092
20698,28721,48860,16865,47573
41313,12418,26295,26877,44278
32842,5914,21028,49339,31829
49898,34981,7808,12521,5706
20733,23568,21577,23743,28733
44875,4042,11579,29909,2272
39320,5211,31461,13858,33993
25705,3219,46170,22507,10579
48455,3128,12984,2449,22371
28689,18882,18558,43608,24215
4768,44362,47316,35368,39089
9785,7416,24759,36234,8700
45741,30483,30368,27029,22766
26055,15731,18250,13278,14800
28622,39048,37919,48615,23846
10107,6887,21483,10897,16472
47579,38962,13184,12251,18773
16602,29979,47568,49449,35208
29854,30104,40754,32611,37720
47227,48431,14272,17039,6532
4970,29980,5797,45251,445
16408,22127,41171,34537,34462
11828,18611,3505,22025,49176
40298,35307,10083,43383,8549
12211,4308,23119,28390,23670
2970,36017,3307,1014,26419
4898,23543,44137,35788,13872
499,16029,29015,12,29351
39638,4632,29085,29027,13652
24628,14618,21517,32000,16087
32824,5859,45662,14270,49124
7173,5298,24236,5859,22665
42290,25544,36796,12613,40558
38940,42822,29214,5163,36392
5596,4577,19471,9253,16648
3512,29894,28581,46741,13240
20652,915,16883,19821,43160
13795,19275,24807,32536,26151
11964,15597,876,45147,27657
19775,10238,21855,40662,19734
18097,7724,45785,15901,7801
4300,21625,25216,23120,41590
48523,40429,8514,17672,16115
11707,4720,147,7832,18001
47107,49321,42910,14595,4691
44711,35858,36422,19262,25943
26777,17059,11082,17271,10129
33340,19696,36816,10380,17075
29621,34445,29342,22302,9746
39172,41387,47439,11342,37357
15991,42211,8634,18344,46790
41508,612,26048,26607,31916
35923,9436,43287,20233,45496
26689,4510,18838,33896,32000
17981,32419,12486,40369,5822
15895,29972,47839,6072,1654
25900,40569,11267,24013,6502
19589,3125,23988,1975,9977
38550,7692,48654,24989,42101
17833,49600,41353,41702,37812
1097,1524,8163,15401,18282
18427,28088,49564,44833,7646
17257,25693,30999,47320,36828
17830,46560,30660,38852,48286
11664,34691,46399,46600,23483
17309,720,16909,15383,4604
45909,2404,21619,28732,9899
591,35142,30553,18375,18930
37715,26175,13215,25331,4702
43677,18069,24675,35948,23547
9766,49748,5917,10455,45161
35313,20249,29213,34950,44877
11119,29291,29329,7114,2185
14301,35488,49249,49867,4398
10880,33217,38526,15994,7343
27672,46973,37309,46846,45419
40666,45903,47002,46314,2367
17460,10749,31638,49977,10217
8662,40384,23813,9676,25596
31151,18302,13779,21283,28521
24246,17632,43654,10093,9230
25933,23933,6350,45202,27916
39743,31932,41431,11186,35184
45888,27708,13517,44174,38386
35773,41310,16346,28325,17414
31750,22492,32069,14591,39168
8478,40422,1280,43558,39753
41484,1190,47385,46298,28212
5834,5176,27780,37176,39698
18198,13980,41890,29533,15666
48808,32376,32782,26395,20470
45616,7825,35390,23923,48447
1994,48147,16146,20743,15508
5427,20791,40537,39034,19498
1778,20855,21120,2634,26187
43859,12637,8625,1045,6738
2637,15451,33619,19323,30262
26296,14565,12685,49709,35122
28747,23888,9619,4090,22706
9839,24559,31447,4334,13929
39427,12078,27772,40756,1506
13807,17312,8933,29618,33658
13224,37219,21448,36815,11714
24411,12065,8741,32809,6045
36772,4482,42271,1321,46141
26509,23157,34016,21130,34930
49883,17245,1542,40594,26376
34379,40686,529,37537,13922
1310,40867,14290,10156,33012
46083,42341,15200,29980,21450
13078,44278,12026,7152,23651
27948,17802,36303,12816,41571
34713,6113,36425,43575,34246
47866,1093,17298,18881,19391
39912,45167,24996,7671,10635
34276,49314,28501,33199,26697
12109,21079,44422,31174,19061
45905,34054,16159,44588,13479
24394,6477,6874,31423,28079
46352,49008,3403,41671,35341
41499,764,8727,25396,10977
4454,35458,4408,40246,19359
49285,32577,2502,13194,19633
22228,45852,28299,47056,28784
40189,9705,27927,40681,29241
23760,35773,32348,44871,43319
8674,40576,27551,4918,6347
26843,48039,11857,1375,6878
15926,29048,17532,2857,21094
30004,42596,29260,32025,30794
49603,18396,21941,3814,19272
30977,1738,2302,32023,43845
26854,34078,1080,23227,11785
10616,15925,5560,34206,5368
9837,10853,19303,12841,33362
14996,44907,34947,7324,8031
2643,46147,15314,37658,41532
38423,28205,33065,37284,38341
44247,28230,8068,14769,19616
36586,8114,31307,49508,40790
11601,26214,1260,35699,36797
7252,3803,29710,36216,37205
44554,1305,21623,41004,1050
29665,45280,29883,40248,44631
48201,21540,39649,11921,19513
9284,7809,3848,18566,35712
22587,42705,11488,16793,43785
43348,23778,30537,27704,15334
23162,1184,20757,8442,26494
47669,12732,14342,133,43173
7657,25177,4329,11124,30186
41833,42875,3826,24978,7647
25454,38888,37150,26577,10189
34375,25347,26828,20515,28000
27729,11884,38227,17958,6888
19999,34978,41095,45548,25428
3552,12219,19279,426,31599
8876,41327,22484,7921,42845
18766,41985,10364,18190,17943
9039,20074,10027,30256,49254
41407,16530,3887,15316,1074
17804,36992,23448,14903,26663
48725,35716,9803,32038,36530
40896,15534,4869,22070,17840
6328,2307,37621,526,33228
45427,49508,10210,44341,37143
11629,19500,1317,2703,22829
6350,41329,27396,6568,4036
24687,22043,37282,25913,17006
3490,41528,17000,32486,29787
7882,35491,7450,804,31184
4265,3672,36167,11512,11191
33709,26842,9479,39410,28294
36645,29408,7673,11407,45700
15207,14803,13892,1242,43168
2372,26314,45669,28981,14534
44686,30510,18922,34860,37077
25570,23169,5422,27882,28585
39777,39430,8269,7987,12293
10896,671,25283,45031,34749
17345,26447,37868,35241,41210
1766,23809,45387,49809,17818
770,39040,16737,28191,47694
4311,15220,4526,38972,19247
41975,339,10622,11664,19492
33564,28942,41259,10064,45538
5424,48268,40075,10971,26830
22149,29391,11831,14086,22891
5328,26255,43501,18450,18556
4127,1381,44350,36369,22768
6736,13530,3799,9903,34350
5241,16091,1472,32137,7693
2293,25471,37141,45502,42158
36768,23806,30077,16282,11619
35849,42967,37431,45571,29777
4280,36929,8427,34083,35062
31465,41361,4321,27159,45896
20374,21455,25110,9094,37729
19782,31192,17007,11304,34872
19789,25074,339,9746,12599
18828,37626,39140,7856,27170
19287,3506,9434,41392,27962
24361,35924,43137,46120,35129
13794,24867,45600,41347,8216
32443,38926,18473,37333,22923
1332,14419,24053,19164,4591
19537,49972,21027,31360,17412
33278,29947,24089,45152,44015
7317,30500,16032,10801,48782
42861,28386,8267,46269,39880
8241,4002,8315,24530,5542
33473,19299,26190,3800,24068
23343,8390,15360,33964,35977
15125,29739,12369,38819,254
48886,21010,31909,33167,20704
24939,32339,49160,40758,37900
38421,37187,16786,44624,6556
40146,41235,44829,48664,37898
8142,33416,9003,37607,30408
39263,9628,42642,13668,34567
43557,12715,2240,3276,22514
8543,17673,26526,23800,17563
5687,17914,13660,30284,16632
40678,28980,27918,239,19685
13365,25628,36462,26550,7085
21975,14222,8468,40607,1691
1769,9473,15338,16900,44914
40810,38904,26705,3793,7105
27603,22107,27787,30371,10270
42306,11440,23625,14761,37176
37929,31908,40064,5668,48736
1883,49711,39932,45708,31860
7470,576,32347,38681,46548
33215,7886,10293,28408,3645
16030,1595,6673,13989,10013
30987,39766,1746,39146,49126
21189,12174,36019,39652,6417
4722,13661,37937,17926,33675
6245,23231,17699,38380,8813
25536,6356,13510,7508,30639
9919,26950,39360,2470,2069
26468,9394,31986,8489,21451
31112,23710,37999,13130,17549
42912,25884,24771,16732,39578
22181,29920,14542,18616,7079
28784,24802,42503,19457,8848
43423,48136,20717,18071,5964
45577,10636,15935,2894,8139
23204,17043,29417,35567,12371
8005,575,10249,8291,42912
21795,15502,36809,31090,8256
24536,40650,15909,35920,42927
5036,23679,1507,11803,23558
37015,17464,40507,22084,5594
35562,40388,34089,18469,1602
10502,9811,8186,25838,33581
25505,33615,37255,3795,15604
44557,29374,533,24029,30287
17132,405,34287,33281,42098
49532,42958,25730,10826,31390
48897,43382,10341,10117,23804
16316,40614,32624,31920,49882
5182,41306,1046,42533,3239
2622,37709,12657,13081,41268
13976,14131,7171,44909,49669
7166,33741,17523,4586,22562
30716,40830,9640,34621,20520
31338,36564,24496,4268,15583
18432,14192,16321,13261,16780
49948,48605,15027,46890,49132
30699,33249,23469,34016,29191
2704,33221,303,21461,21685
1993,31769,7181,20294,44411
26150,31770,41149,14369,25561
17885,31798,10953,1565,42864
41202,9729,42727,42546,25143
14977,44398,46824,47068,19268
28546,23816,16626,24411,26753
302,13195,32376,16398,21859
44163,46066,49658,17546,37445
45238,14168,45266,44746,12950
31891,19970,10239,3160,23020
17421,48557,31634,25061,44427
19662,33588,16319,1453,35270
28556,49372,15079,5002,791
35122,33304,8463,17209,37972
34280,17652,21630,40529,12061
39479,33459,37246,174,13877
9621,9974,2300,18920,29594
12810,46354,5720,26404,41102
695,45749,7649,17,29956
32283,12729,1385,39993,28019
15818,16175,23326,21047,23567
48444,13691,14719,44553,7247
31241,14233,24902,11113,47142
10015,36197,40637,7270,33417
34822,44108,36918,5278,36642
20522,48294,27801,40568,24146
37638,32857,30171,5060,3171
18049,19564,2056,30445,28859
13380,12389,36698,31732,20936
35265,31651,13789,41562,4235
35858,40356,32882,8145,33649
28069,33871,17185,32113,18872
49926,28153,32720,852,31318
43963,35783,25256,47525,3995
12242,34446,9767,26522,28355
6716,4446,17019,19431,46755
19308,36060,38218,16512,46526
30847,29017,31111,15579,27812
1192,37437,5343,48377,12971
2441,1857,2440,14660,36700
44489,27512,45190,34665,33113
4699,9575,7680,45285,4546
49666,48337,49331,47535,31692
36102,34561,38513,2673,26766
3543,44392,492,2938,6430
11694,36098,5334,12376,27423
39468,44212,14436,19384,5854
45912,31950,4690,26026,38483
17912,9941,35586,30403,21334
46982,67,16193,22770,38089
17622,37522,27583,37782,35251
20293,2964,34494,25945,19681
41256,40917,15758,15471,41352
49306,34204,17850,43958,45530
33644,20866,29684,42178,5621
6533,35904,38531,42274,40686
44638,37565,2638,20497,1151
7812,36096,37269,48798,24070
5705,16922,5392,41151,8420
99,31442,25353,48090,46559
26827,20715,37509,31248,14554
14692,538,37296,165,14601
18555,37480,47086,10745,40304
7856,18976,38878,1903,15212
45378,2017,34612,39281,42792
22375,36328,11444,31114,20126
47776,11502,48262,1440,23390
24586,6229,41359,41156,41762
27093,16264,9759,47055,26258
9132,5000,49778,183,15522
38662,16136,27563,22609,49739
44616,43332,19928,22324,41864
25030,42714,35351,17171,12818
43269,4947,40483,2024,11245
44513,36571,33798,40234,37733
40115,30394,44796,5844,37945
6062,27291,17814,49768,7195
26935,41714,35847,29249,42198
29742,43566,17873,14731,5611
5435,9653,10714,30550,32075
23244,7062,46365,17286,21079
14821,35937,48758,19711,6446
21369,42639,39265,14245,20127
26199,41322,42573,49174,18988
49405,18517,2892,28803,7566
30420,28778,30251,48199,10678
23802,8075,20904,2270,45048
27096,4824,21760,20102,11748
48024,31768,6121,29999,34712
4344,38374,1613,13490,14131
34406,11407,21256,19100,492
1743,27430,26641,45228,30527
25792,36082,31135,43389,40569
12742,20255,14788,36007,24984
12594,46390,24644,49144,29005
39918,4173,14785,47836,49597
2031,12711,35353,26748,1788
9603,12582,7372,11642,28671
27000,4472,5186,13997,10188
2891,42142,19206,28878,48115
40797,12778,48233,18852,24736
40754,3900,47777,46573,18904
33041,5337,2143,12332,3566
25694,23445,22327,4650,18949
23451,1833,34995,41781,43446
35173,47987,43295,22541,49595
16327,47453,11137,46040,42344
9830,8736,515,44313,11691
16399,19133,13528,26108,40644
485,47585,43900,1355,24429
17289,13066,18057,15894,39492
19619,39948,236,24159,8918
32733,36070,12736,26440,32903
1279,37955,35561,15909,21428
37084,24676,48751,4710,29973
26451,41962,10233,15367,13806
30791,10639,5378,293,4114
40437,33526,32474,24478,7333
20450,45397,8137,40343,41379
28515,43339,28331,25689,28179
9699,3202,4787,26687,34011
38916,19210,4767,16564,24138
170,3625,7292,29331,16082
10365,43284,27578,17811,4070
31060,10778,28595,36806,49682
41744,37911,11129,26029,19506
5948,25465,3351,38358,48114
2630,25737,16413,36458,3641
46131,25157,17499,24739,2996
49746,26506,14495,11985,25794
31792,9522,1907,19290,11656
4062,18417,20235,34562,6910
11984,4866,11456,430,30084
17542,45960,45716,45960,39584
22703,46882,17521,7289,42755
11654,20448,29527,44170,16370
48087,11922,15244,44374,28463
22874,10061,19290,22483,8103
9597,24313,26579,42214,17363
2881,37007,49608,43382,6001
27232,34795,1962,15180,45179
6123,47326,15807,18895,7769
29775,25354,22230,31813,40420
27545,14166,46953,4823,44587
4643,21618,7165,8416,992
19629,43588,13516,20812,42926
41874,324,45144,47763,28393
48008,30476,17103,14200,46404
5557,24101,8194,15774,3527
23619,6054,4407,39182,9559
34369,42481,26558,16922,3033
37545,27920,6084,15,33473
36808,18182,23585,6651,38622
27937,34128,44717,14924,40246
48561,20312,3429,47708,39353
15227,18175,36848,38354,39316
11296,6779,29154,6549,24402
3273,40987,20051,45871,9258
31204,16925,13735,49407,2494
27805,14758,47821,20969,10577
16037,30812,39083,11575,7870
10462,26687,5276,16938,6352
14953,41561,14188,1144,17454
21811,2530,39460,8240,15449
49957,26412,32694,39284,9895
24074,21841,37923,28247,5726
4887,46519,20293,31873,10595
28931,4560,7720,27680,28875
42649,3342,46672,25696,18917
30039,41581,39229,1628,7380
45096,585,3248,14752,10789
31876,14764,17160,19113,32507
17577,24776,6471,9106,18384
8364,28083,32871,19203,9652
3213,3288,5643,28933,5714
17241,21453,35259,24415,17707
14682,40018,25181,2957,20819
32527,13365,42922,43926,5599
6014,3726,12322,31040,49414
13410,26688,17158,14509,24030
28475,41345,6268,41471,20590
41249,8430,24374,26921,34258
35438,15782,45763,33716,26969
46589,3874,9579,31363,4444
10998,5087,37455,31421,13717
5126,16390,10076,6235,19811
9482,30922,22557,16333,10702
7123,40756,29412,11585,5826
40711,17645,11386,22151,16961
14222,17979,42736,45269,5633
23333,47772,40778,15335,13245
17016,3364,16035,15544,19602
25226,13444,4863,6411,47444
42909,11132,13429,32162,34837
44797,44359,10254,23850,9042
10545,43297,20266,47141,38045
34926,42175,14321,13375,48216
7452,15064,36592,16615,5880
29563,35296,47154,17593,38607
49805,45474,17572,15492,2658
34922,15166,18857,32067,9696
22814,13448,34967,20844,43150
9640,19241,19489,5425,27531
9125,3330,19182,21945,4570
38127,41419,8379,40447,10882
38341,3298,31735,29558,11476
8564,16747,97,23872,34680
25894,20173,11354,7193,30017
8608,30785,42174,13952,22179
6756,37785,10300,27887,32794
16252,38154,1562,6679,8649
45726,41161,31164,13404,41779
18666,9792,32571,20342,11497
31620,19998,31726,12309,35439
16549,1116,32674,24410,42759
803,30834,8850,28927,4333
40743,20276,32515,17886,45064
8736,26886,10615,19184,36249
9197,21004,26420,3963,25382
4188,43407,1700,46055,22869
12285,13924,3420,17695,4094
7009,24243,47329,46459,24391
36917,25820,13203,21865,17944
12248,37291,33394,45672,43436
5495,2791,30594,47774,1094
7229,48568,34435,39885,26643
11483,20931,42154,36134,5612
34136,34295,43938,25243,32879
21754,26787,37760,10648,30623
23978,47916,43248,20462,44775
4190,24199,1168,25728,15950
26607,13251,14729,9444,19258
10101,22644,27421,9068,40835
23891,3047,18202,38279,6237
1980,43771,30219,40625,15677
34407,33689,930,20860,46027
19536,19739,28920,43371,41660
41418,1000,848,9330,11290
11320,14542,25037,20532,38180
17732,5295,46892,189,16204
313,36855,43737,26244,34186
38416,3208,5549,7898,43733
20778,21433,40331,4564,1914
48435,23784,36499,22864,13088
8205,10141,22514,5651,17771
38653,9002,30703,25865,11366
1842,6211,8091,43924,4875
264,16772,9515,17380,31492
17938,16055,49589,27340,2234
35107,19690,10821,48503,10105
11255,7327,19203,5986,4498
28285,36446,20120,41127,46395
29695,45697,31753,34725,43938
29137,7101,10830,16225,39599
8654,41131,5018,41842,27358
26865,48358,25151,10292,7888
35824,33872,36296,10628,49927
17582,24950,11722,11202,8470
28603,11595,46663,49423,37986
42184,37117,30348,1187,1121
17009,39104,31222,44629,20933
28991,8766,30278,31586,49982
20445,23787,44602,32478,38716
15102,36485,15078,32330,23664
38690,21645,34701,46433,48785
34909,34177,48001,280,37845
395,17748,2969,24977,11918
40098,5237,47843,24434,31274
42645,32400,340,30571,4104
24507,27396,19359,30194,48684
12680,10561,43332,49648,17043
12135,10428,9647,9537,36142
43093,20085,19746,28686,37544
33890,44507,5424,21099,2236
21838,25950,49254,28797,9117
13217,49398,26981,2712,34207
21848,26888,18163,25128,43295
20064,36908,31030,49133,12796
206,43789,5433,2545,43521
11760,23954,8449,1078,36627
34350,49241,42374,21095,26952
31510,40957,34110,20425,7451
39817,48590,6803,12541,20575
45848,6213,11719,45021,33185
48920,27718,15785,27297,36068
17226,45846,26782,11878,45823
6675,40941,44551,4351,3382
15112,29083,548,14377,23322
13540,21194,10211,17302,30164
30711,38266,43532,36932,44155
31088,10210,31058,13202,40155
17672,48088,37709,37583,39447
3028,33129,21924,4784,45334
11594,13984,44170,41529,4899
6400,22533,24880,27907,12553
19013,12074,19707,27094,28878
14456,33317,15803,38055,6394
35547,43568,39479,47875,37389
42953,41968,6551,46212,31613
37374,26063,44500,7820,102
20177,39862,47098,19632,47478
16657,10848,18302,28311,3114
12616,27332,32097,47321,44059
1995,13235,40571,1956,15077
46128,34373,43882,21469,17145
13306,27842,140,37419,16442
21359,20238,39027,2875,47477
2879,545,289,12851,12382
16172,15189,7432,2123,7534
35920,48697,29580,22520,1805
32261,42087,23734,18381,36397
31482,20830,34957,23271,5568
23699,24512,39211,33550,31762
2479,48959,31764,12461,27407
25162,582,39016,11108,31256
18127,17307,29532,14763,3262
39055,22006,3947,2815,34717
35194,39507,24241,16738,16329
4903,650,47897,37777,32340
132,25575,30322,15664,34695
25019,39533,15767,24307,25691
46165,47411,43859,92,42140
43996,5966,22808,38543,28028
15232,34563,18670,2978,48959
47151,30971,32924,2068,19571
17355,2128,12426,11566,42108
44629,15248,9637,44816,27376
23530,25644,22783,18724,4524
36519,26864,34528,46582,9817
4910,33438,26429,28660,11889
36854,47530,49999,2200,36254
917,40452,40482,31041,27236
23706,1920,22832,18740,16196
43730,47648,38214,14784,22123
41951,4736,24476,23111,6841
7611,44603,12764,17728,36212
40788,20624,14094,11136,22454
44027,14523,25544,49627,13716
46505,11367,37341,24122,28816
17201,19973,38308,3229,45120
4539,23442,17781,36986,14153
18475,16238,9418,11568,31117
20825,29128,14589,1372,47181
24046,18689,35274,37300,45095
5602,17074,31734,35350,35916
31058,26152,1514,25380,47131
20630,21847,20689,3599,11114
38166,344,7648,5261,45962
46564,1663,26197,11082,1797
9440,41499,11867,32894,38487
43062,19270,25446,35983,41927
19432,16330,5188,32421,30586
13797,6478,30123,791,47963
19392,13473,20436,5610,46993
6609,24518,1527,40855,48426
2363,44615,38904,16762,9725
26431,9885,17148,24565,5172
15743,36840,38341,31432,32618
33678,23527,20532,17565,16016
14326,25306,14661,18972,43113
21973,864,23228,14923,25511
49326,2135,5059,21423,16966
543,34217,34778,4299,18322
29200,47704,28976,13557,41739
6597,44357,14463,4352,34848
20785,21820,26457,10915,24798
20990,31512,49261,17721,42479
11630,9552,25392,21779,8271
48825,48746,16455,14408,19600
30277,31354,11953,10740,4765
7265,15215,25175,22140,11962
42608,21071,1375,35812,40677
23134,12257,26805,39704,49786
26798,23033,15459,24876,20285
25633,13003,45121,45920,4787
46768,8856,41541,25580,35423
6278,42721,43858,19930,30111
13681,39150,12562,26945,7729
12148,45993,34149,29482,7384
25236,1723,5394,46781,6243
2530,14826,41182,40334,44566
37622,46370,39702,5273,43220
25099,19122,35950,16288,33136
37849,37084,33969,5281,31154
46301,21266,36852,27394,23840
20731,3248,49175,26379,38014
318,40245,25235,10328,41611
10456,35352,32419,37166,14591
7816,43464,45246,6791,38503
37396,49062,24892,29098,21321
2335,45547,38225,10138,2824
21595,8756,11993,22112,22248
27977,12149,7352,27041,26227
32697,41036,14611,22860,36223
14670,14213,27641,43186,23474
42463,23324,24523,8439,2044
6124,661,17503,40985,35282
9294,8562,18169,8517,23071
12433,41379,27209,33,36144
12200,26567,29189,39955,27894
11101,14977,28731,49264,34537
13515,16808,35984,10133,9939
39246,26891,12182,46009,49521
27436,17691,32506,28555,48594
12093,33175,46272,11887,41494
38503,47722,4627,32906,21059
30502,12237,40874,25021,13782
47586,2034,26396,29431,45626
2929,4160,14386,28033,4607
22551,44032,18102,3556,28026
2945,37318,19777,31581,30970
21408,38768,49682,34352,24235
49941,16444,6487,39117,31784
24325,24765,35653,42385,46979
18076,41397,17265,34455,15698
2447,44252,39687,5004,32883
25956,11809,41854,39517,32300
2866,26857,9076,40737,47006
48069,42407,21173,40125,5236
40708,45466,31506,6014,18789
3333,11906,21457,42640,19438
24376,3968,12365,8255,43081
49512,3385,41205,40048,11511
9351,10026,34771,16012,17693
11362,42004,39833,45941,47700
12068,48092,40461,2137,36980
10645,30692,41295,7701,48511
26428,38627,2851,4740,28258
20662,43558,4752,2454,40185
47381,40288,40046,35139,16775
33705,25197,19236,10875,49175
41618,25752,42267,37836,39988
26750,14980,9709,47780,43691
30777,42459,2860,20885,1462
46164,14960,9027,29855,45331
30000,12410,6293,46694,2822
33667,16838,36957,13390,15723
32542,29746,24097,20063,3882
28318,26609,33785,22242,31094
12855,48693,40862,34553,44464
17367,46272,49387,24903,43647
46735,13602,36939,34240,1832
35334,14787,7388,18582,3704
15873,46545,35414,23131,48131
5751,26320,25224,34363,36387
4476,31842,46254,23050,42838
6518,32445,37869,40518,3341
47582,46923,9192,47348,19446
49484,11268,30245,30179,36025
21837,6414,6535,44288,47093
46248,14597,4681,19816,43711
1388,21813,46075,34557,28334
22025,4841,7543,20722,34250
12935,433,34389,338,208
37549,9265,43406,48416,41718
293,30849,27664,34613,1289
5133,48968,20898,46676,25845
5739,46874,205,24608,9581
2518,223,37377,9659,45598
17890,19212,44411,6914,34079
11938,8883,8888,18319,19153
4034,32716,33342,6962,16311
1360,31494,20883,647,3982
4756,49113,4126,13954,7476
1484,41979,46916,44883,6044
30351,11894,44987,2527,21677
7383,11543,23136,12933,7887
18876,48218,21376,33140,26961
16623,19852,49655,5094,4541
23494,48167,5043,38172,7957
34810,42736,27813,29422,5200
