"PID","MS_SubClass","MS_Zoning","Lot_Frontage","Lot_Area","Street","Alley","Lot_Shape","Land_Contour","Utilities","Lot_Config","Land_Slope","Neighborhood","Condition_1","Condition_2","Bldg_Type","House_Style","Overall_Qual","Overall_Cond","Year_Built","Year_Remod_Add","Roof_Style","Roof_Matl","Exterior_1st","Exterior_2nd","Mas_Vnr_Type","Mas_Vnr_Area","Exter_Qual","Exter_Cond","Foundation","Bsmt_Qual","Bsmt_Cond","Bsmt_Exposure","BsmtFin_Type_1","BsmtFin_SF_1","BsmtFin_Type_2","BsmtFin_SF_2","Bsmt_Unf_SF","Total_Bsmt_SF","Heating","Heating_QC","Central_Air","Electrical","First_Flr_SF","Second_Flr_SF","Low_Qual_Fin_SF","Gr_Liv_Area","Bsmt_Full_Bath","Bsmt_Half_Bath","Full_Bath","Half_Bath","Bedroom_AbvGr","Kitchen_AbvGr","Kitchen_Qual","TotRms_AbvGrd","Functional","Fireplaces","Fireplace_Qu","Garage_Type","Garage_Yr_Blt","Garage_Finish","Garage_Cars","Garage_Area","Garage_Qual","Garage_Cond","Paved_Drive","Wood_Deck_SF","Open_Porch_SF","Enclosed_Porch","Three_season_porch","Screen_Porch","Pool_Area","Pool_QC","Fence","Misc_Feature","Misc_Val","Mo_Sold","Year_Sold","Sale_Type","Sale_Condition","Longitude","Latitude","Sale_Price"
527163010,"Two_Story_1946_and_Newer","Residential_Low_Density",75,10000,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Corner","Gtl","Gilbert","Norm","Norm","OneFam","Two_Story","Above_Average","Average",1993,1994,"Gable","CompShg","HdBoard","HdBoard","None",0,"Typical","Typical","PConc","Good","Typical","No","Unf",7,"Unf",0,763,763,"GasA","Good","Y","SBrkr",763,892,0,1655,0,0,2,1,3,1,"Typical",7,"Typ",1,"Typical","Attchd",1993,"Fin",2,440,"Typical","Typical","Paved",157,84,0,0,0,0,"No_Pool","No_Fence","None",0,4,2010,"WD ","Normal",-93.636947,42.05848,175900
527165230,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",0,7980,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","OneFam","One_Story","Above_Average","Good",1992,2007,"Gable","CompShg","HdBoard","HdBoard","None",0,"Typical","Good","PConc","Good","Typical","No","ALQ",1,"Unf",0,233,1168,"GasA","Excellent","Y","SBrkr",1187,0,0,1187,1,0,2,0,3,1,"Typical",6,"Typ",0,"No_Fireplace","Attchd",1992,"Fin",2,420,"Typical","Typical","Paved",483,21,0,0,0,0,"No_Pool","Good_Privacy","Shed",500,3,2010,"WD ","Normal",-93.635951,42.057419,185000
527166040,"Two_Story_1946_and_Newer","Residential_Low_Density",63,8402,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","OneFam","Two_Story","Above_Average","Average",1998,1998,"Gable","CompShg","VinylSd","VinylSd","None",0,"Typical","Typical","PConc","Good","Typical","No","Unf",7,"Unf",0,789,789,"GasA","Good","Y","SBrkr",789,676,0,1465,0,0,2,1,3,1,"Typical",7,"Typ",1,"Good","Attchd",1998,"Fin",2,393,"Typical","Typical","Paved",0,75,0,0,0,0,"No_Pool","No_Fence","None",0,5,2010,"WD ","Normal",-93.638647,42.058151,180400
527180040,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",85,10176,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","OneFam","One_Story","Good","Average",1990,1990,"Gable","CompShg","HdBoard","HdBoard","None",0,"Typical","Typical","PConc","Good","Typical","Gd","GLQ",3,"Unf",0,663,1300,"GasA","Good","Y","SBrkr",1341,0,0,1341,1,0,1,1,2,1,"Good",5,"Typ",1,"Poor","Attchd",1990,"Unf",2,506,"Typical","Typical","Paved",192,0,0,0,0,0,"No_Pool","No_Fence","None",0,2,2010,"WD ","Normal",-93.634626,42.057268,171500
527182190,"One_Story_PUD_1946_and_Newer","Residential_Low_Density",0,6820,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Corner","Gtl","Stone_Brook","Norm","Norm","TwnhsE","One_Story","Very_Good","Average",1985,1985,"Gable","CompShg","HdBoard","HdBoard","None",0,"Good","Typical","PConc","Good","Typical","Av","GLQ",3,"BLQ",1120,0,1488,"GasA","Typical","Y","SBrkr",1502,0,0,1502,1,0,1,1,1,1,"Good",4,"Typ",0,"No_Fireplace","Attchd",1985,"RFn",2,528,"Typical","Typical","Paved",0,54,0,0,140,0,"No_Pool","No_Fence","None",0,6,2010,"WD ","Normal",-93.632913,42.059169,212000
527216070,"Two_Story_1946_and_Newer","Residential_Low_Density",47,53504,"Pave","No_Alley_Access","Moderately_Irregular","HLS","AllPub","CulDSac","Mod","Stone_Brook","Norm","Norm","OneFam","Two_Story","Very_Good","Average",2003,2003,"Hip","CompShg","CemntBd","Wd Shng","BrkFace",603,"Excellent","Typical","PConc","Good","Typical","Gd","ALQ",1,"Unf",0,234,1650,"GasA","Excellent","Y","SBrkr",1690,1589,0,3279,1,0,3,1,4,1,"Excellent",12,"Mod",1,"Good","BuiltIn",2003,"Fin",3,841,"Typical","Typical","Paved",503,36,0,0,210,0,"No_Pool","No_Fence","None",0,6,2010,"WD ","Normal",-93.62655,42.061239,538000
527225035,"One_and_Half_Story_Finished_All_Ages","Residential_Low_Density",152,12134,"Pave","No_Alley_Access","Slightly_Irregular","Bnk","AllPub","Inside","Mod","Gilbert","Norm","Norm","OneFam","One_and_Half_Fin","Very_Good","Good",1988,2005,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"Good","Typical","Wood","Good","Typical","Av","GLQ",3,"Unf",0,132,559,"GasA","Good","Y","SBrkr",1080,672,0,1752,0,0,2,0,4,1,"Typical",8,"Typ",0,"No_Fireplace","Basment",1988,"RFn",2,492,"Typical","Typical","Paved",325,12,0,0,0,0,"No_Pool","No_Fence","None",0,6,2010,"WD ","Normal",-93.6235954,42.0603514,164000
527258010,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",88,11394,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Corner","Gtl","Stone_Brook","Norm","Norm","OneFam","One_Story","Excellent","Poor",2010,2010,"Hip","CompShg","VinylSd","VinylSd","Stone",350,"Good","Typical","PConc","Excellent","Typical","Av","GLQ",3,"Unf",0,411,1856,"GasA","Excellent","Y","SBrkr",1856,0,0,1856,1,0,1,1,1,1,"Excellent",8,"Typ",1,"Excellent","Attchd",2010,"Fin",3,834,"Typical","Typical","Paved",113,0,0,0,0,0,"No_Pool","No_Fence","None",0,6,2010,"New","Partial",-93.628804,42.05885,394432
527276150,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",140,19138,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Corner","Gtl","Gilbert","Norm","Norm","OneFam","One_Story","Below_Average","Average",1951,1951,"Gable","CompShg","VinylSd","VinylSd","None",0,"Typical","Typical","CBlock","Typical","Typical","No","LwQ",4,"Unf",0,744,864,"GasA","Excellent","Y","SBrkr",864,0,0,864,0,0,1,0,2,1,"Typical",4,"Typ",0,"No_Fireplace","Detchd",1951,"Unf",2,400,"Typical","Typical","Paved",0,0,0,0,0,0,"No_Pool","No_Fence","None",0,6,2010,"WD ","Normal",-93.622971,42.056673,141000
527302110,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",85,13175,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Northwest_Ames","Norm","Norm","OneFam","One_Story","Above_Average","Above_Average",1978,1988,"Gable","CompShg","Plywood","Plywood","Stone",119,"Typical","Typical","CBlock","Good","Typical","No","ALQ",1,"Rec",163,589,1542,"GasA","Typical","Y","SBrkr",2073,0,0,2073,1,0,2,0,3,1,"Typical",7,"Min1",2,"Typical","Attchd",1978,"Unf",2,500,"Typical","Typical","Paved",349,0,0,0,0,0,"No_Pool","Minimum_Privacy","None",0,2,2010,"WD ","Normal",-93.636655,42.054453,210000
527358140,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",105,11751,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Northwest_Ames","Norm","Norm","OneFam","One_Story","Above_Average","Above_Average",1977,1977,"Hip","CompShg","Plywood","Plywood","BrkFace",480,"Typical","Typical","CBlock","Good","Typical","No","BLQ",2,"Unf",0,1139,1844,"GasA","Excellent","Y","SBrkr",1844,0,0,1844,0,0,2,0,3,1,"Typical",7,"Typ",1,"Typical","Attchd",1977,"RFn",2,546,"Typical","Typical","Paved",0,122,0,0,0,0,"No_Pool","Minimum_Privacy","None",0,1,2010,"COD","Normal",-93.633962,42.050346,190000
527358200,"Split_Foyer","Residential_Low_Density",85,10625,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Northwest_Ames","Norm","Norm","OneFam","SFoyer","Good","Above_Average",1974,1974,"Gable","CompShg","Plywood","Plywood","BrkFace",81,"Typical","Typical","CBlock","Good","Typical","Gd","GLQ",3,"LwQ",168,0,1053,"GasA","Typical","Y","SBrkr",1173,0,0,1173,1,0,2,0,3,1,"Good",6,"Typ",2,"Typical","Attchd",1974,"RFn",2,528,"Typical","Typical","Paved",0,120,0,0,0,0,"No_Pool","Minimum_Privacy","None",0,1,2010,"WD ","Family",-93.636372,42.05027,170000
527368020,"Two_Story_1946_and_Newer","Floating_Village_Residential",0,7500,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Somerset","Norm","Norm","OneFam","Two_Story","Good","Average",2000,2000,"Gable","CompShg","VinylSd","VinylSd","None",0,"Good","Typical","PConc","Good","Typical","No","GLQ",3,"Unf",0,281,814,"GasA","Excellent","Y","SBrkr",814,860,0,1674,1,0,2,1,3,1,"Good",7,"Typ",0,"No_Fireplace","Attchd",2000,"RFn",2,663,"Typical","Typical","Paved",0,96,0,0,0,0,"No_Pool","No_Fence","None",0,1,2010,"WD ","Normal",-93.639366,42.049297,216000
527402200,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",0,11241,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","CulDSac","Gtl","North_Ames","Norm","Norm","OneFam","One_Story","Above_Average","Good",1970,1970,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",180,"Typical","Typical","CBlock","Typical","Typical","No","ALQ",1,"Unf",0,426,1004,"GasA","Excellent","Y","SBrkr",1004,0,0,1004,1,0,1,0,2,1,"Typical",5,"Typ",1,"Typical","Attchd",1970,"Fin",2,480,"Typical","Typical","Paved",0,0,0,0,0,0,"No_Pool","No_Fence","Shed",700,3,2010,"WD ","Normal",-93.626231,42.055147,149000
527402250,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",0,12537,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","CulDSac","Gtl","North_Ames","Norm","Norm","OneFam","One_Story","Average","Above_Average",1971,2008,"Gable","CompShg","VinylSd","VinylSd","None",0,"Typical","Typical","CBlock","Typical","Typical","No","GLQ",3,"Unf",0,344,1078,"GasA","Excellent","Y","SBrkr",1078,0,0,1078,1,0,1,1,3,1,"Typical",6,"Typ",1,"Fair","Attchd",1971,"Fin",2,500,"Typical","Typical","Paved",0,0,0,0,0,0,"No_Pool","No_Fence","None",0,4,2010,"WD ","Normal",-93.626537,42.054592,149900
527403020,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",65,8450,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","North_Ames","Norm","Norm","OneFam","One_Story","Average","Above_Average",1968,1968,"Gable","CompShg","VinylSd","VinylSd","None",0,"Typical","Typical","CBlock","Typical","Typical","No","BLQ",2,"Unf",0,281,1056,"GasA","Excellent","Y","SBrkr",1056,0,0,1056,1,0,1,0,3,1,"Typical",6,"Typ",1,"Fair","Attchd",1968,"Unf",1,304,"Typical","Typical","Paved",0,85,184,0,0,0,"No_Pool","No_Fence","None",0,7,2010,"WD ","Normal",-93.628806,42.055227,142000
527404120,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",70,8400,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Corner","Gtl","North_Ames","Norm","Norm","OneFam","One_Story","Below_Average","Average",1970,1970,"Gable","CompShg","Plywood","Plywood","None",0,"Typical","Typical","CBlock","Typical","Typical","No","ALQ",1,"Rec",78,0,882,"GasA","Typical","Y","SBrkr",882,0,0,882,1,0,1,0,2,1,"Typical",4,"Typ",0,"No_Fireplace","Attchd",1970,"Fin",2,525,"Typical","Typical","Paved",240,0,0,0,0,0,"No_Pool","Minimum_Privacy","None",0,4,2010,"WD ","Normal",-93.627112,42.053395,126000
527425090,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",70,10500,"Pave","No_Alley_Access","Regular","Lvl","AllPub","FR2","Gtl","North_Ames","Norm","Norm","OneFam","One_Story","Below_Average","Average",1971,1971,"Gable","CompShg","HdBoard","HdBoard","None",0,"Typical","Typical","CBlock","Typical","Typical","No","ALQ",1,"Unf",0,432,864,"GasA","Typical","Y","SBrkr",864,0,0,864,0,0,1,0,3,1,"Typical",5,"Typ",1,"Poor","No_Garage",NA,"No_Garage",0,0,"No_Garage","No_Garage","Paved",0,0,0,0,0,0,"No_Pool","No_Fence","None",0,4,2010,"ConLI","Normal",-93.622769,42.056375,115000
527427230,"One_Story_PUD_1946_and_Newer","Residential_High_Density",26,5858,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","FR2","Gtl","North_Ames","Norm","Norm","TwnhsE","One_Story","Good","Average",1999,1999,"Gable","CompShg","MetalSd","MetalSd","None",0,"Good","Typical","PConc","Good","Typical","No","GLQ",3,"BLQ",0,354,1405,"GasA","Excellent","Y","SBrkr",1337,0,0,1337,1,0,2,0,2,1,"Good",5,"Typ",1,"Fair","Attchd",1999,"Fin",2,511,"Typical","Typical","Paved",203,68,0,0,0,0,"No_Pool","No_Fence","None",0,6,2010,"WD ","Normal",-93.624373,42.055318,184000
527451180,"Two_Story_PUD_1946_and_Newer","Residential_Medium_Density",21,1680,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Briardale","Norm","Norm","Twnhs","Two_Story","Above_Average","Average",1971,1971,"Gable","CompShg","HdBoard","HdBoard","BrkFace",504,"Typical","Typical","CBlock","Typical","Typical","No","Rec",6,"Unf",0,327,483,"GasA","Typical","Y","SBrkr",483,504,0,987,0,0,1,1,2,1,"Typical",5,"Typ",0,"No_Fireplace","Detchd",1971,"Unf",1,264,"Typical","Typical","Paved",275,0,0,0,0,0,"No_Pool","No_Fence","None",0,2,2010,"COD","Normal",-93.627271,42.051835,96000
527451330,"Two_Story_PUD_1946_and_Newer","Residential_Medium_Density",21,1680,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Briardale","Norm","Norm","Twnhs","Two_Story","Average","Average",1971,1971,"Gable","CompShg","HdBoard","HdBoard","BrkFace",492,"Typical","Typical","CBlock","Typical","Typical","No","Rec",6,"Unf",0,225,525,"GasA","Typical","Y","SBrkr",525,567,0,1092,0,0,1,1,3,1,"Typical",6,"Typ",0,"No_Fireplace","Detchd",1997,"Unf",1,320,"Typical","Typical","Paved",0,0,0,0,0,0,"No_Pool","No_Fence","None",0,3,2010,"WD ","Normal",-93.627536,42.051684,105500
527451410,"Two_Story_PUD_1946_and_Newer","Residential_Medium_Density",21,1680,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Briardale","Norm","Norm","Twnhs","Two_Story","Above_Average","Average",1971,1971,"Gable","CompShg","HdBoard","ImStucc","BrkFace",381,"Typical","Typical","CBlock","Typical","Typical","No","Unf",7,"Unf",0,525,525,"GasA","Typical","Y","SBrkr",525,567,0,1092,0,0,1,1,3,1,"Typical",6,"Typ",0,"No_Fireplace","Detchd",1971,"Unf",1,264,"Typical","Typical","Paved",0,0,0,0,0,0,"No_Pool","No_Fence","None",0,3,2010,"WD ","Family",-93.62728,42.051685,88000
527452190,"One_Story_PUD_1946_and_Newer","Residential_Low_Density",53,4043,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Northpark_Villa","Norm","Norm","TwnhsE","One_Story","Above_Average","Average",1977,1977,"Gable","CompShg","Plywood","Plywood","None",0,"Typical","Typical","CBlock","Good","Typical","No","ALQ",1,"Unf",0,709,1069,"GasA","Typical","Y","SBrkr",1069,0,0,1069,0,0,2,0,2,1,"Typical",4,"Typ",1,"Fair","Attchd",1977,"RFn",2,440,"Typical","Typical","Paved",0,55,0,0,165,0,"No_Pool","No_Fence","None",0,7,2010,"WD ","Normal",-93.627232,42.049672,127500
527453130,"Two_Story_PUD_1946_and_Newer","Residential_Low_Density",24,2280,"Pave","No_Alley_Access","Regular","Lvl","AllPub","FR2","Gtl","Northpark_Villa","Norm","Norm","Twnhs","Two_Story","Above_Average","Above_Average",1975,1975,"Gable","CompShg","Plywood","Brk Cmn","None",0,"Typical","Typical","CBlock","Typical","Typical","No","ALQ",1,"Unf",0,341,855,"GasA","Typical","Y","SBrkr",855,601,0,1456,0,0,2,1,3,1,"Good",6,"Typ",1,"Typical","Attchd",1975,"Unf",2,440,"Typical","Typical","Paved",173,0,0,0,0,0,"No_Pool","No_Fence","None",0,6,2010,"WD ","Normal",-93.625924,42.050683,149900
527453150,"One_Story_PUD_1946_and_Newer","Residential_Low_Density",24,2280,"Pave","No_Alley_Access","Regular","Lvl","AllPub","FR2","Gtl","Northpark_Villa","Norm","Norm","Twnhs","One_Story","Good","Above_Average",1975,1975,"Gable","CompShg","Plywood","Brk Cmn","None",0,"Typical","Typical","CBlock","Good","Typical","No","Unf",7,"Unf",0,836,836,"GasA","Excellent","Y","SBrkr",836,0,0,836,0,0,1,0,2,1,"Typical",4,"Typ",0,"No_Fireplace","Attchd",1975,"Unf",1,308,"Typical","Typical","Paved",0,30,0,0,0,0,"No_Pool","No_Fence","None",0,6,2010,"WD ","Normal",-93.625966,42.050681,120000
527454200,"Two_Story_PUD_1946_and_Newer","Residential_Low_Density",24,2280,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Northpark_Villa","Norm","Norm","Twnhs","Two_Story","Above_Average","Average",1978,1978,"Gable","CompShg","Plywood","Brk Cmn","None",0,"Typical","Typical","CBlock","Good","Typical","No","ALQ",1,"Unf",0,544,855,"GasA","Fair","Y","SBrkr",855,601,0,1456,0,0,2,1,3,1,"Typical",7,"Typ",1,"Typical","Attchd",1978,"Unf",2,440,"Typical","Typical","Paved",26,0,0,0,0,0,"No_Pool","No_Fence","None",0,7,2010,"WD ","Normal",-93.625848,42.049811,146000
528108120,"Two_Story_1946_and_Newer","Residential_Low_Density",102,12858,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Northridge_Heights","Norm","Norm","OneFam","Two_Story","Excellent","Average",2009,2010,"Gable","CompShg","VinylSd","VinylSd","Stone",162,"Excellent","Typical","PConc","Excellent","Typical","No","Unf",7,"Unf",0,1590,1590,"GasA","Excellent","Y","SBrkr",1627,707,0,2334,0,0,2,1,3,1,"Excellent",10,"Typ",1,"Good","Attchd",2009,"Fin",3,751,"Typical","Typical","Paved",144,133,0,0,0,0,"No_Pool","No_Fence","None",0,1,2010,"New","Partial",-93.653201,42.062352,376162
